Date,City,Temperature,Rain,Update_at 
2025-07-03T11:00,Казань,20.0,0.0,2025-07-02 16:10
2025-07-03T12:00,Казань,20.2,0.0,2025-07-02 16:10
2025-07-03T13:00,Казань,19.5,0.0,2025-07-02 16:10
2025-07-03T14:00,Казань,19.3,0.0,2025-07-02 16:10
2025-07-03T15:00,Казань,18.8,0.0,2025-07-02 16:10
2025-07-03T16:00,Казань,17.5,0.0,2025-07-02 16:10
2025-07-03T17:00,Казань,17.1,0.1,2025-07-02 16:10
2025-07-03T18:00,Казань,17.0,0.0,2025-07-02 16:10
2025-07-03T19:00,Казань,17.0,0.0,2025-07-02 16:10
2025-07-03T20:00,Казань,16.8,0.0,2025-07-02 16:10
2025-07-03T21:00,Казань,16.2,0.0,2025-07-02 16:10
2025-07-03T22:00,Казань,16.0,0.0,2025-07-02 16:10
2025-07-03T23:00,Казань,16.0,0.0,2025-07-02 16:10
